filename,width,height,class,xmin,ymin,xmax,ymax
maksssksksss0.png,512,366,with_mask,185,100,226,144
maksssksksss1.png,400,156,with_mask,321,34,354,69
maksssksksss1.png,400,156,with_mask,224,38,261,73
maksssksksss1.png,400,156,with_mask,299,58,315,81
maksssksksss1.png,400,156,with_mask,143,74,174,115
maksssksksss1.png,400,156,with_mask,74,69,95,99
maksssksksss1.png,400,156,with_mask,191,67,221,93
maksssksksss1.png,400,156,with_mask,21,73,44,93
maksssksksss1.png,400,156,with_mask,369,70,398,99
maksssksksss10.png,301,400,with_mask,98,267,194,383
maksssksksss100.png,400,226,with_mask,189,30,245,88
maksssksksss100.png,400,226,with_mask,387,54,400,75
maksssksksss100.png,400,226,with_mask,118,87,163,126
maksssksksss101.png,301,400,with_mask,48,294,164,400
maksssksksss102.png,400,225,with_mask,212,57,251,106
maksssksksss103.png,400,300,with_mask,42,54,94,110
maksssksksss103.png,400,300,with_mask,188,46,236,106
maksssksksss103.png,400,300,with_mask,261,88,303,130
maksssksksss103.png,400,300,with_mask,368,112,400,151
maksssksksss104.png,400,267,with_mask,133,108,174,152
maksssksksss104.png,400,267,with_mask,221,101,256,139
maksssksksss105.png,400,267,with_mask,178,143,213,202
maksssksksss105.png,400,267,with_mask,280,103,312,145
maksssksksss105.png,400,267,with_mask,320,79,352,119
maksssksksss105.png,400,267,with_mask,365,53,390,84
maksssksksss105.png,400,267,with_mask,243,36,267,67
maksssksksss105.png,400,267,with_mask,115,47,146,87
maksssksksss105.png,400,267,with_mask,33,88,65,131
maksssksksss105.png,400,267,with_mask,29,202,65,265
maksssksksss105.png,400,267,with_mask,26,34,52,66
maksssksksss106.png,600,399,with_mask,154,51,423,391
maksssksksss107.png,301,400,with_mask,121,192,212,312
maksssksksss108.png,400,225,with_mask,155,29,180,51
maksssksksss108.png,400,225,with_mask,206,35,228,58
maksssksksss108.png,400,225,with_mask,332,67,346,81
maksssksksss108.png,400,225,with_mask,362,68,376,82
maksssksksss109.png,400,400,with_mask,216,92,372,251
maksssksksss11.png,400,267,with_mask,147,157,200,211
maksssksksss11.png,400,267,with_mask,201,191,230,234
maksssksksss11.png,400,267,with_mask,243,192,293,247
maksssksksss11.png,400,267,with_mask,309,182,346,224
maksssksksss11.png,400,267,with_mask,249,108,276,140
maksssksksss11.png,400,267,with_mask,275,99,303,128
maksssksksss11.png,400,267,with_mask,195,90,214,113
maksssksksss11.png,400,267,with_mask,214,76,237,99
maksssksksss11.png,400,267,with_mask,232,50,247,67
maksssksksss11.png,400,267,with_mask,266,45,281,61
maksssksksss11.png,400,267,with_mask,207,47,222,63
maksssksksss11.png,400,267,with_mask,227,36,239,48
maksssksksss11.png,400,267,with_mask,253,33,267,45
maksssksksss11.png,400,267,with_mask,290,31,304,41
maksssksksss11.png,400,267,with_mask,362,32,372,40
maksssksksss110.png,400,267,with_mask,48,12,70,37
maksssksksss110.png,400,267,with_mask,113,1,136,24
maksssksksss110.png,400,267,with_mask,59,205,111,264
maksssksksss110.png,400,267,with_mask,186,18,215,44
maksssksksss110.png,400,267,with_mask,178,77,214,111
maksssksksss110.png,400,267,with_mask,253,94,293,135
maksssksksss110.png,400,267,with_mask,282,194,322,232
maksssksksss110.png,400,267,with_mask,314,115,350,152
maksssksksss110.png,400,267,with_mask,356,72,385,98
maksssksksss111.png,400,268,with_mask,17,182,35,202
maksssksksss111.png,400,268,with_mask,17,101,25,116
maksssksksss111.png,400,268,with_mask,48,98,61,113
maksssksksss111.png,400,268,with_mask,109,59,132,82
maksssksksss111.png,400,268,with_mask,140,64,161,85
maksssksksss111.png,400,268,with_mask,184,68,207,93
maksssksksss111.png,400,268,with_mask,248,73,267,95
maksssksksss111.png,400,268,with_mask,291,65,314,90
maksssksksss111.png,400,268,with_mask,383,96,397,110
maksssksksss113.png,400,267,with_mask,133,108,148,124
maksssksksss113.png,400,267,with_mask,203,117,214,131
maksssksksss113.png,400,267,with_mask,294,115,308,130
maksssksksss114.png,400,225,with_mask,80,58,153,141
maksssksksss115.png,400,267,with_mask,24,67,47,91
maksssksksss115.png,400,267,with_mask,79,91,103,112
maksssksksss115.png,400,267,with_mask,109,80,128,101
maksssksksss115.png,400,267,with_mask,137,88,159,110
maksssksksss115.png,400,267,with_mask,179,107,205,134
maksssksksss115.png,400,267,with_mask,254,105,278,128
maksssksksss115.png,400,267,with_mask,221,78,244,100
maksssksksss115.png,400,267,with_mask,172,86,183,107
maksssksksss115.png,400,267,with_mask,185,85,209,104
maksssksksss116.png,400,225,with_mask,116,88,150,122
maksssksksss116.png,400,225,with_mask,160,79,193,118
maksssksksss116.png,400,225,with_mask,235,43,272,87
maksssksksss116.png,400,225,with_mask,304,68,336,102
maksssksksss116.png,400,225,with_mask,379,61,399,96
maksssksksss117.png,301,400,with_mask,131,224,227,346
maksssksksss118.png,400,267,with_mask,138,79,176,116
maksssksksss118.png,400,267,with_mask,217,70,255,107
maksssksksss119.png,400,289,with_mask,54,92,82,120
maksssksksss119.png,400,289,with_mask,132,47,153,71
maksssksksss119.png,400,289,with_mask,242,94,268,125
maksssksksss119.png,400,289,with_mask,254,51,266,64
maksssksksss119.png,400,289,with_mask,263,79,275,92
maksssksksss12.png,400,272,with_mask,72,71,90,88
maksssksksss12.png,400,272,with_mask,119,70,137,88
maksssksksss12.png,400,272,with_mask,163,76,185,96
maksssksksss12.png,400,272,with_mask,36,70,46,82
maksssksksss12.png,400,272,with_mask,120,55,132,68
maksssksksss12.png,400,272,with_mask,94,59,102,69
maksssksksss12.png,400,272,with_mask,153,61,171,81
maksssksksss12.png,400,272,with_mask,335,70,353,87
maksssksksss12.png,400,272,with_mask,273,58,290,75
maksssksksss12.png,400,272,with_mask,232,61,249,78
maksssksksss12.png,400,272,with_mask,354,54,365,68
maksssksksss12.png,400,272,with_mask,38,82,45,98
maksssksksss120.png,301,400,with_mask,59,185,183,336
maksssksksss122.png,400,267,with_mask,201,38,345,213
maksssksksss123.png,400,301,with_mask,92,106,191,224
maksssksksss123.png,400,301,with_mask,227,129,321,229
maksssksksss124.png,400,271,with_mask,91,146,143,204
maksssksksss124.png,400,271,with_mask,239,126,290,182
maksssksksss124.png,400,271,with_mask,378,146,399,171
maksssksksss126.png,267,400,with_mask,106,45,158,104
maksssksksss126.png,267,400,with_mask,194,62,215,88
maksssksksss127.png,267,400,with_mask,98,46,130,80
maksssksksss129.png,400,295,with_mask,246,40,271,69
maksssksksss13.png,400,226,with_mask,28,54,44,71
maksssksksss13.png,400,226,with_mask,98,62,114,80
maksssksksss13.png,400,226,with_mask,293,60,313,81
maksssksksss13.png,400,226,with_mask,352,53,373,71
maksssksksss13.png,400,226,with_mask,229,53,241,72
maksssksksss131.png,400,267,with_mask,65,63,110,112
maksssksksss131.png,400,267,with_mask,127,31,166,76
maksssksksss131.png,400,267,with_mask,284,66,321,107
maksssksksss131.png,400,267,with_mask,345,93,363,116
maksssksksss133.png,301,400,with_mask,100,179,221,318
maksssksksss134.png,400,225,with_mask,92,19,117,50
maksssksksss134.png,400,225,with_mask,179,24,197,47
maksssksksss134.png,400,225,with_mask,183,74,205,100
maksssksksss134.png,400,225,with_mask,269,70,285,89
maksssksksss134.png,400,225,with_mask,302,43,318,59
maksssksksss135.png,400,225,with_mask,49,157,144,225
maksssksksss135.png,400,225,with_mask,151,67,270,198
maksssksksss136.png,267,400,with_mask,100,105,152,158
maksssksksss137.png,400,400,with_mask,114,142,131,163
maksssksksss137.png,400,400,with_mask,158,165,175,185
maksssksksss138.png,400,267,with_mask,51,144,128,239
maksssksksss138.png,400,267,with_mask,147,169,217,233
maksssksksss138.png,400,267,with_mask,224,92,309,186
maksssksksss139.png,400,225,with_mask,2,28,19,46
maksssksksss139.png,400,225,with_mask,23,36,45,59
maksssksksss139.png,400,225,with_mask,4,177,35,209
maksssksksss139.png,400,225,with_mask,93,15,117,34
maksssksksss139.png,400,225,with_mask,99,74,122,100
maksssksksss139.png,400,225,with_mask,36,152,65,183
maksssksksss139.png,400,225,with_mask,138,191,165,221
maksssksksss139.png,400,225,with_mask,182,13,209,36
maksssksksss139.png,400,225,with_mask,188,55,213,80
maksssksksss139.png,400,225,with_mask,196,146,219,168
maksssksksss139.png,400,225,with_mask,213,164,243,193
maksssksksss139.png,400,225,with_mask,253,13,277,35
maksssksksss139.png,400,225,with_mask,246,73,268,98
maksssksksss139.png,400,225,with_mask,286,10,314,38
maksssksksss139.png,400,225,with_mask,320,1,341,15
maksssksksss139.png,400,225,with_mask,345,34,372,57
maksssksksss139.png,400,225,with_mask,358,116,388,141
maksssksksss140.png,400,267,with_mask,37,74,188,247
maksssksksss140.png,400,267,with_mask,210,114,336,255
maksssksksss141.png,400,267,with_mask,129,96,175,155
maksssksksss141.png,400,267,with_mask,220,123,260,169
maksssksksss142.png,479,359,with_mask,144,110,244,235
maksssksksss143.png,301,400,with_mask,102,200,194,333
maksssksksss144.png,400,217,with_mask,130,19,155,47
maksssksksss144.png,400,217,with_mask,212,56,232,79
maksssksksss144.png,400,217,with_mask,298,60,316,80
maksssksksss146.png,400,267,with_mask,119,122,184,192
maksssksksss146.png,400,267,with_mask,265,90,324,153
maksssksksss147.png,400,250,with_mask,198,15,218,36
maksssksksss147.png,400,250,with_mask,224,89,243,109
maksssksksss147.png,400,250,with_mask,272,33,294,55
maksssksksss148.png,400,364,with_mask,1,20,81,136
maksssksksss148.png,400,364,with_mask,151,89,247,205
maksssksksss148.png,400,364,with_mask,243,120,283,179
maksssksksss149.png,400,283,with_mask,38,98,71,130
maksssksksss149.png,400,283,with_mask,180,103,215,136
maksssksksss149.png,400,283,with_mask,287,53,315,85
maksssksksss149.png,400,283,with_mask,315,57,341,89
maksssksksss149.png,400,283,with_mask,330,104,359,133
maksssksksss149.png,400,283,with_mask,324,180,348,210
maksssksksss15.png,193,400,with_mask,59,144,125,213
maksssksksss15.png,193,400,with_mask,82,330,118,366
maksssksksss150.png,301,400,with_mask,60,136,164,260
maksssksksss151.png,400,200,with_mask,82,127,89,134
maksssksksss151.png,400,200,with_mask,101,142,105,146
maksssksksss151.png,400,200,with_mask,111,132,116,138
maksssksksss151.png,400,200,with_mask,126,131,132,138
maksssksksss151.png,400,200,with_mask,134,134,139,140
